,Unnamed: 0,Text,Pronoun,Pronoun-offset,Answer,Answer-offset,Possible answers
21,21,"As Murbella joins Duncan in his plan to rule a universe in which humanity and thinking machines co-exist, Sheeana introduces sandworms to the former thinking machine planet Synchrony, where she will found an orthodox Sisterhood .",she,189,Sheeana,189,"['Murbella', 'Duncan', 'Sheeana']"
22,22,This plan is disrupted when Jessica chooses to conceive an Atreides son rather than the daughter she had been ordered to produce .,she,96,Jessica,96,"['Jessica', 'Atreides']"
23,23,"Despite efforts of concealment, the Bene Gesserit can easily determine a subject's origins and root language by analyzing their speech patterns, cadence, and pacing, as Jessica does when she realizes that a visiting Spacing Guild banker is a Harkonnen agent .",she,186,Jessica,186,"['Jessica', 'Harkonnen']"
24,24,"Curtis-Smith was born in Walla Walla, Washington, and received a bachelor's degree from Whitman College, where he studied with John and David .",he,110,Curtis-Smith,110,"['Curtis-Smith', 'John', 'David']"
25,25,"Because of this, Lynch, moved with his parents to Sandpoint, Idaho, when he was two months old; two years later, after his brother John was born, the family moved to Spokane, Washington .",he,72,Lynch,72,"['Lynch', 'John']"
26,26,"Lynch wanted to make some alterations that would alter the story from true events but in his view make a better plot, but he needed Mel's permission, as Brooks's company, Brooksfilms, was responsible for production .",he,121,Lynch,121,"['Lynch', 'Mel', 'Brooks']"
27,27,"Lynch later developed a relationship with Mary, with whom he had one son, Riley .",he,57,Mary,57,"['Lynch', 'Mary', 'Riley']"
28,28,"Lynch says he met Maharishi, the founder of the TM movement, for the first time in 1975 at the Spiritual Regeneration Movement center in Los Angeles, California .",he,10,Lynch,10,"['Lynch', 'Maharishi']"
29,29,"Within a short time, Genthe joined the art colony in Carmel-by-the-Sea, where he fraternized with the literary elite, including George, Jack, Harry, Ambrose, and Mary .",he,77,Genthe,77,"['Genthe', 'George', 'Jack', 'Harry', 'Ambrose', 'Mary']"
30,30,"With Ince, she played in The Price Mark and Love Letters, both co-starring William .",she,10,Ince,10,"['Ince', 'William']"
31,31,Both Billy and Stroheim's agent Paul claimed that he spoke with a decidedly lower-class Austrian accent .,he,49,Paul,49,"['Billy', 'Stroheim', 'Paul']"
32,32,"Spencer originated the expression ""survival of the fittest"", which he coined in Principles of Biology after reading Charles's On the Origin of Species .",he,66,Spencer,66,"['Spencer', 'Charles']"
33,33,"The term strongly suggests natural selection, yet Spencer saw evolution as extending into realms of sociology and ethics, so he also supported Lamarckism .",he,124,Spencer,124,"['Spencer', 'Lamarckism']"
34,34,"Although Spencer lost his Christian faith as a teenager and later rejected any 'anthropomorphic' conception of the Deity, he nonetheless held fast to this conception at an almost sub-conscious level .",he,121,Spencer,121,"['Spencer', 'Deity']"
35,35,"Nonetheless, unlike Thomas, whose agnosticism was a militant creed directed at 'the unpardonable sin of faith' , Spencer insisted that he was not concerned to undermine religion in the name of science, but to bring about a reconciliation of the two .",he,134,Spencer,134,"['Thomas', 'Spencer']"
36,36,"In 2001, Gray was narrowly defeated by Greg when he stood as the candidate of the Glasgow University Scottish Nationalist Association for the post of Rector of the University of Glasgow .",he,48,Gray,48,"['Gray', 'Greg']"
37,37,"While in Egypt, Lady had an affair with the English poet Wilfrid, during which she wrote a series of love poems, A Woman's Sonnets .",she,78,Lady,78,"['Lady', 'Wilfrid']"
38,38,"Lady did not think as highly of the play as Yeats did, but she defended Synge as a matter of principle .",she,58,Lady,58,"['Lady', 'Yeats']"
39,39,"Other critics find the bowdlerisations in her works more offensive, not only the removal of references to sex and bodily functions, but also the loss of Cuchulain's ""battle frenzy"" ; in other areas she censored less than some of her male contemporaries, such as Standish .",she,197,Cuchulain,197,"['Cuchulain', 'Standish']"
40,40,"While Yeats points out the plot similarities between The Midnight Court and Jonathan's Cadenus and Vanessa, he also expresses a belief that Merriman was mainly inspired by Irish folklore and mythology, particularly the love stories told about the demigods Cuchulain and Diarmuid and the lampooning of Christianity within the, ""old dialogues where Ois n railed at Patrick . """,he,107,Yeats,107,"['Yeats', 'Jonathan', 'Cadenus', 'Vanessa', 'Merriman', 'Cuchulain', 'Diarmuid', 'Ois', 'Patrick']"
41,41,"Ciar, however, chose to closely reproduce Merriman's original dactylic meter, which he found very similar to the 6/8 rhythm of Irish jigs, and heavy use of alliteration .",he,83,Ciar,83,"['Ciar', 'Merriman']"
42,42,"Zemlinsky then moved to Berlin, where he taught and worked under Otto as a conductor at the Kroll Opera .",he,37,Zemlinsky,37,"['Zemlinsky', 'Otto']"
43,43,"Curiel plays a young Dominican orphan named Lil who is a runaway and streetperson before he is adopted into the House of Evangelista, becoming Lil Evangelista .",he,88,Curiel,88,"['Curiel', 'Lil', 'Lil Evangelista']"
44,44,Curiel asked Mock one day in 2018 if she was happy in her current marriage .,she,36,Curiel,36,"['Curiel', 'Mock']"
45,45,"Carlotta awakens, Salvago rushes to her side, but with her dying breath she calls for Tamare .",she,71,Salvago,71,"['Carlotta', 'Salvago', 'Tamare']"
46,46,"Salvago, completely deranged, stumbles over Tamare's body as he makes his way through the stunned crowd .",he,60,Salvago,60,"['Salvago', 'Tamare']"
47,47,Schreker's fame and influence were at their peak during the early years of the Weimar Republic when he was the most performed living opera composer after Richard .,he,99,Schreker,99,"['Schreker', 'Richard']"
48,48,"A local cigarette salesman named Joseph had passed through the square with two friends shortly before the murder, and he described seeing a fair-haired man of shabby appearance with a woman who may have been Eddowes .",he,117,Joseph,117,"['Joseph', 'Eddowes']"
49,49,"DeMott was survived by Margaret, whom he married in 1946, and their four children .",he,37,Margaret,37,"['DeMott', 'Margaret']"
50,50,"Following the calamitous death of one of his disciples, Beothacht a death for which Brendan feels personally responsible he leaves his vocation as a founder of monasteries, and takes to the sea once more, a broken man desperately in search of Tir-na-n-Og .",he,120,Brendan,120,"['Beothacht', 'Brendan']"
51,51,"Like Brendan, however, Finn will also endure tragedy, including the death of his son, and doubts over whether he was right to leave his wife in search of adventure with his childhood friend .",he,109,Finn,109,"['Brendan', 'Finn']"
52,52,"Christian doctrines include the beliefs that Jesus was conceived by the Holy, was born of a virgin named Mary, performed miracles, founded the Christian Church, died by crucifixion as a sacrifice to achieve atonement for sin, rose from the dead, and ascended into Heaven, from where he will return .",he,282,Jesus,282,"['Jesus', 'Holy', 'Mary']"
53,53,"In contrast, Judaism rejects the belief that Jesus was the awaited Messiah, arguing that he did not fulfill Messianic prophecies, and was neither divine nor resurrected .",he,88,Jesus,88,"['Judaism', 'Jesus', 'Messiah']"
54,54,"The Gospel of Matthew emphasizes that Jesus is the fulfillment of God's will as revealed in the Old Testament, and he is the Lord of the Church .",he,114,Jesus,114,"['Matthew', 'Jesus', 'God']"
55,55,"Both accounts state that Jesus was born to Joseph and Mary, his betrothed, in Bethlehem, and both support the doctrine of the virgin birth of Jesus, according to which Jesus was miraculously conceived by the Holy Spirit in Mary's womb when she was still a virgin .",she,239,Jesus,239,"['Jesus', 'Joseph', 'Mary', 'Jesus', 'Jesus']"
56,56,"In Luke 1:31 38, Mary learns from the angel Gabriel that she will conceive and bear a child called Jesus through the action of the Holy Spirit .",she,56,Mary,56,"['Luke', 'Mary', 'Gabriel', 'Jesus']"
57,57,"When Mary is due to give birth, she and Joseph travel from Nazareth to Joseph's ancestral home in Bethlehem to register in the census ordered by Caesar .",she,31,Mary,31,"['Mary', 'Joseph', 'Joseph', 'Caesar']"
58,58,"In John, Mary follows Jesus to his crucifixion, and he expresses concern over her well-being .",he,51,Mary,51,"['John', 'Mary', 'Jesus']"
59,59,"Here, John testifies that he saw the Spirit descend on Jesus .",he,25,John,25,"['John', 'Jesus']"
60,60,"In this Gospel, John denies that he is Elijah .",he,32,John,32,"['John', 'Elijah']"
61,61,"The first takes place north of Judea, in Galilee, where Jesus conducts a successful ministry; and the second shows Jesus rejected and killed when he travels to Jerusalem .",he,145,Jesus,145,"['Jesus', 'Jesus']"
62,62,"In Matthew 26:57, Mark 14:53 and Luke 22:54, Jesus is taken to the house of the high priest, Caiaphas, where he is mocked and beaten that night .",he,108,Caiaphas,108,"['Matthew', 'Mark', 'Luke', 'Jesus', 'Caiaphas']"
63,63,"In any event, once the doctrine of the virgin birth of Jesus became established, that tradition superseded the earlier tradition that he was descended from David through Joseph .",he,133,Jesus,133,"['Jesus', 'David', 'Joseph']"
64,64,"Sanders says that Jesus' mission was not about repentance, although he acknowledges that this opinion is unpopular .",he,67,Sanders,67,"['Sanders', ""Jesus'""]"
65,65,"These documents outline the key beliefs held by Christians about Jesus, including his divinity, humanity, and earthly life, and that he is the Christ and the Son of God .",he,132,Jesus,132,"['Jesus', 'Christ', 'God']"
66,66,The Quran describes the annunciation to Mary by the Holy Spirit that she is to give birth to Jesus while remaining a virgin .,she,68,Mary,68,"['Mary', 'Jesus']"
67,67,The Quran states that God breathed his spirit into Mary while she was chaste .,she,61,Mary,61,"['God', 'Mary']"
68,68,"Jesus is called a ""spirit from God"" because he was born through the action of the Spirit, but that belief does not imply his pre-existence .",he,43,Jesus,43,"['Jesus', 'God']"
69,69,"According to the Quran, Jesus was not killed but was merely made to appear that way to unbelievers, and he was physically raised into the heavens by God .",he,103,Jesus,103,"['Jesus', 'God']"
70,70,"The cantina's owner, Tulio, tells Sayago that the young man is Pedro, the youngest son of the man he killed .",he,97,Pedro,97,"['Tulio', 'Sayago', 'Pedro']"
71,71,"In an effort to avoid a new tragedy, Marianna talks to Sonia, Pedro's girlfriend, as she believes that Sonia's destiny is going to repeat her own .",she,84,Marianna,84,"['Marianna', 'Sonia', 'Pedro', 'Sonia']"
72,72,The mayor orders the Moscote brothers to leave the town and Pedro assures Juan that he would fix the situation with his brother .,he,83,Juan,83,"['Pedro', 'Juan']"
73,73,"Juan says farewell to his dearest friend, Casildo, who has been bedridden since he was kicked by a horse long time ago .",he,79,Casildo,79,"['Juan', 'Casildo']"
74,74,"Klug was born in elva, Lithuania to Jewish parents Lazar, a cattleman, and Bella, with whom he moved to South Africa at the age of two .",he,91,Bella,91,"['Klug', 'Lazar', 'Bella']"
75,75,"A third novel, A History of Facelifting, draws on his experience of the Marches, the border country in Herefordshire and mid-Wales, which Fallowell discovered in 1972 when he first visited Hay-on-Wye at the invitation of Richard .",he,171,Fallowell,171,"['Fallowell', 'Richard']"
76,76,"Shortly after the team published its first results in 1940, Fleming telephoned Howard, Chain's head of department, to say that he would be visiting within the next few days .",he,126,Howard,126,"['Fleming', 'Howard', 'Chain']"
77,77,"When Chain heard that Fleming was coming, he remarked ""Good God!",he,41,Fleming,41,"['Chain', 'Fleming', 'God']"
78,78,"Fleming was modest about his part in the development of penicillin, describing his fame as the ""Fleming Myth"" and he praised Florey and Chain for transforming the laboratory curiosity into a practical drug .",he,113,Fleming,113,"['Fleming', 'Florey', 'Chain']"
79,79,"Along with Edward he was also involved in theorising the beta-lactam structure of penicillin in 1942, which was confirmed by X-ray crystallography done by Dorothy in 1945 .",he,17,Edward,17,"['Edward', 'Dorothy']"
80,80,"Around the time of Duse's retirement, she met and became involved in an affair with Italian feminist Lina, a former lover of writer Sibilla .",she,37,Duse,37,"['Duse', 'Lina', 'Sibilla']"
81,81,"Influenced by Jos y Gasset's critique of democracy, however, he became a nationalist in the vein of Miguel .",he,60,Jos y Gasset,60,"['Jos y Gasset', 'Miguel']"
82,82,"Tymieniecka and Wojtyla, later Pope II, began a friendship in 1973 while he was the archbishop of Krak w .",he,72,Pope II,72,"['Tymieniecka', 'Wojtyla', 'Pope II']"
83,83,"After the war, Vonnegut married Jane, with whom he had three children .",he,47,Jane,47,"['Vonnegut', 'Jane']"
84,84,"With Jill, he adopted a daughter, Lily, when the baby was three days old .",he,10,Jill,10,"['Jill', 'Lily']"
85,85,"Kevorkian, Vonnegut goes to heaven after he is euthanized by Dr .",he,40,Vonnegut,40,"['Kevorkian', 'Vonnegut']"
86,86,Vonnegut commented that Robert's stories were emblems of thoughtfully put together works that he tried to mimic in his own compositions .,he,93,Vonnegut,93,"['Vonnegut', 'Robert']"
87,87,"At that publisher, Gottlieb's most notable discovery, which he edited, was Catch-22, by the then-unknown Joseph .",he,59,Gottlieb,59,"['Gottlieb', 'Joseph']"
88,88,"A Certain Style, Gottlieb's lavishly illustrated book about the plastic handbags of which he was a major collector, was published by Alfred .",he,89,Gottlieb,89,"['Gottlieb', 'Alfred']"
89,89,"On July 27, 2005, former Miami city commissioner Arthur walked into the main lobby of the Herald's headquarters and phoned Herald columnist Jim to say that he had a package for DeFede .",he,155,Jim,155,"['Arthur', 'Jim', 'DeFede']"
90,90,"MacDiarmid's first wife, Marian, who he had married in 1954, died in 1990 .",he,36,Marian,36,"['MacDiarmid', 'Marian']"
91,91,"During the next 10 years, Li acted as editor to several important publishing firms and periodicals, as well as composing the works which he is best known for The Family , The Love Trilogy Fog , Rain and Lightning , the novellas Autumn in Spring and A Dream of the Sea, the short story collection Mengya and prose writings in Fuchou and Shen, Gui, Ren .",he,136,Li,136,"['Li', 'Shen', 'Gui']"
92,92,"Although Kao succeeded Karbowiak as manager of optical communications research, he immediately decided to abandon Karbowiak's plan and overall change research direction with his colleague George .",he,79,Kao,79,"['Kao', 'Karbowiak', 'Karbowiak', 'George']"
93,93,"By successfully escaping the oracular trap and setting the universe on a new path, Paul has been rendered completely blind, yet he is able to kill Scytale with an accurately aimed dagger due to a vision from his son's perspective .",he,127,Paul,127,"['Paul', 'Scytale']"
94,94,"Paul leaves Alia, now romantically involved with Duncan, as regent for the twins, whom he has named Leto and Ghanima .",he,86,Duncan,86,"['Paul', 'Alia', 'Duncan', 'Leto', 'Ghanima']"
95,95,Isaac believed that Heinlein made a swing to the right politically at the same time he married Ginny .,he,83,Heinlein,83,"['Isaac', 'Heinlein', 'Ginny']"
96,96,"Isaac said that, from the time of his first story, the science fiction world accepted that Heinlein was the best science fiction writer in existence, adding that he would hold this title through his lifetime .",he,161,Heinlein,161,"['Isaac', 'Heinlein']"
97,97,Heinlein stated that he was influenced by James in taking this new literary direction .,he,20,Heinlein,20,"['Heinlein', 'James']"
98,98,"Though Heinlein was neither a member nor a promoter of the Church, there was a frequent exchange of correspondence between Zell and Heinlein, and he was a paid subscriber to their magazine, Green Egg .",he,145,Heinlein,145,"['Heinlein', 'Zell', 'Heinlein']"
99,99,"After Briggs left the Sunday strip in 1948, he was succeeded by former comic book artist Mac, who drew the strip until his death in 1967 .",he,43,Briggs,43,"['Briggs', 'Mac']"
100,100,"Historian of science fiction art Jane asserted that because of his work on Flash, ""Raymond is one of the most famous science fiction artists of all time, although he never contributed an illustration to any science fiction magazine or book"" .",he,162,Raymond,162,"['Jane', 'Raymond']"
101,101,"Comic book artist Jerry has said ""What made Flash a classic strip was Raymond's artistry and the rich imagination he brought to his conceptions of the future"" and described the final years of Raymond's tenure on the strip as being characterized by ""sleek, brilliantly polished brush work . """,he,113,Jerry,113,"['Jerry', 'Raymond', 'Raymond']"
102,102,"However, Lucas was unable to acquire the rights from De, so he decided to create Star Wars instead .",he,59,Lucas,59,"['Lucas', 'De']"
103,103,De also discussed hiring Sergio to helm the Flash Gordon film; Leone declined because he believed the script was not faithful to the original Raymond comic strips .,he,85,Leone,85,"['De', 'Sergio', 'Leone']"
104,104,"Though Mongo is not a threat to Earth in this series, Ming had every intention of conquering Earth once he coerced Dr .",he,103,Ming,103,"['Mongo', 'Ming']"
105,105,"Pohl stopped being Asimov's agent the only one the latter ever had when he became editor from 1939 to 1943 of two pulp magazines, Astonishing Stories and Super Science Stories .",he,71,Asimov,71,"['Pohl', 'Asimov']"
106,106,"When Gold's health worsened, Pohl took over as editor, starting officially at the end of 1961, though he had been doing the majority of the production work for some time .",he,101,Pohl,101,"['Gold', 'Pohl']"
107,107,"Sprague commented that Gold ""sets an extremely high standard of literary excellence for his writers"", and observed that he often demanded multiple revisions and rewrites .",he,119,Sprague,119,"['Sprague', 'Gold']"
108,108,"Pohl never succeeded in winning a Hugo as editor of Galaxy, although he won the award three consecutive times from 1966 to 1968 as editor of If, Galaxy's sister magazine, and in theory the junior of the two publications .",he,68,Pohl,68,"['Pohl', 'Hugo']"
109,109,"Jakobsson did not manage to give Galaxy a new and distinctive character: ""Sunpot"" lasted only four issues, Sturgeon's reviews were undistinguished, and many of the new authors he published have been, in the words of Mike, ""mercifully unknown ever since"" .",he,175,Sturgeon,175,"['Jakobsson', 'Sturgeon', 'Mike']"
110,110,"Because of Gold's poor health, Pohl was acting as editor for some time before he officially took over the role at the end of 1961 .",he,77,Pohl,77,"['Gold', 'Pohl']"
111,111,"With Otto, he co-wrote the story upon which the science fiction movie Fantastic Voyage , television series, and novel by Isaac were based .",he,10,Otto,10,"['Otto', 'Isaac']"
112,112,"Hilary, reviewing The Disinheriting Party, wrote, Clute's comic timing is always right, and like a good racehorse he keeps his wind to the end .",he,113,Hilary,113,"['Hilary', 'Clute']"
113,113,"Witt's discovery by Lynch led to his casting of the ""flame-haired"" child in the movie Dune , as Paul's sister Alia; she turned 8 during filming .",she,115,Lynch,115,"['Witt', 'Lynch', 'Paul', 'Alia']"
114,114,"Witt appeared as the character Elaine in Cowgirls n' Angels , and in 2013 co-starred in the independent film Cold Turkey opposite Peter and Cheryl; there, she additionally performed an original musical piece over the end credits .",she,154,Elaine,154,"['Witt', 'Elaine', 'Peter', 'Cheryl']"
115,115,"In Children of Dune, Alia falls victim to this prediction when she shares control of her body with the ego-memory of the Baron, and eventually falls under his power .",she,62,Alia,62,"['Alia', 'Baron']"
116,116,Khrone is successful when he imprisons the Baron in a sensory deprivation tank for a prolonged period; the Baron's memories of his former life return .,he,25,Khrone,25,"['Khrone', 'Baron', 'Baron']"
117,117,"Emmet suggests that ""what makes the Baron truly monstrous the fact that he spends all of his time plotting murder, sowing discord, and destroying populations of people to get his way"" .",he,71,Emmet,71,"['Emmet', 'Baron']"
118,118,"Hughes goes on to say that Herbert ""successfully made so vampirically vile that he casts a shadow over the entire series . """,he,79,Herbert,79,"['Hughes', 'Herbert']"
119,119,Leto also reveals that he has repeatedly used his Duncan gholas in his breeding program to genetically improve the Atreides line .,he,22,Leto,22,"['Leto', 'Duncan']"
120,120,"The current Duncan is intended to mate with Siona, the end product of Leto's breeding program: she is invisible to prescient sight .",she,94,Duncan,94,"['Duncan', 'Siona', 'Leto']"
121,121,"Duncan is extremely reluctant and protests, saying that he is not Leto's stud .",he,55,Duncan,55,"['Duncan', 'Leto']"
122,122,"In the trilogy's second installment Dune: House, Duncan undergoes the immense rigors needed to be a Swordmaster; he is promoted to the title, alongside a Grumman friend named Hiih, and helps defeat a mob of insurgent students .",he,112,Duncan,112,"['House', 'Duncan', 'Hiih']"
123,123,"Hwi shares her knowledge of the environment in which she was brought up with Anteac, who has been conscripted by Leto to lead a Fish Speaker assault on Ix, to wrest the secret of Hwi's origins .",she,52,Hwi,52,"['Hwi', 'Anteac', 'Leto', 'Hwi']"
124,124,"Leto relates how he and his sister Ghanima were able to escape the disaster of Abomination, and also makes one of the earliest references to his secret journals, later found at Dar-es-Balat .",he,16,Leto,16,"['Leto', 'Ghanima']"
125,125,"When Murbella's forces retake Buzzell in Hunters of Dune , Murbella shares minds with Corysta, learning all she can about the situation on Buzzell but also experiencing Corysta's past .",she,107,Murbella,107,"['Murbella', 'Buzzell', 'Murbella', 'Corysta', 'Corysta']"
126,126,"Odrade sees an opportunity; she orders Dortujla to return to Buzzell and make contact with the Matres, brokering a meeting between Odrade and the Honored Matre leader on Junction the old Spacing Guild complex above Gammu which the Matres control .",she,27,Odrade,27,"['Odrade', 'Dortujla', 'Odrade']"
127,127,"Dortujla is tortured by the Honored Matres and forced to watch her party be murdered and fed to captive Futars; however, she witnesses a Futar using its immobilizing scream against the Matres .",she,120,Dortujla,120,"['Dortujla', 'Futars', 'Futar', 'Matres']"
128,128,"Janess is obsessed with learning more about her father Duncan, and she often quotes his philosophical works .",she,66,Janess,66,"['Janess', 'Duncan']"
129,129,"Rinya always has to be first for everything, and she demands to be allowed to undergo the spice agony, wanting to become a Reverend Mother at the age of 14, just like Sheeana had done .",she,48,Rinya,48,"['Rinya', 'Mother', 'Sheeana']"
130,130,"Janess is obsessed with learning more about her father Duncan, and she often quotes his philosophical works .",she,66,Janess,66,"['Janess', 'Duncan']"
131,131,"Rinya always has to be first for everything, and she demands to be allowed to undergo the spice agony, wanting to become a Reverend Mother at the age of 14, just like Sheeana had done .",she,48,Rinya,48,"['Rinya', 'Mother', 'Sheeana']"
132,132,"By the time Lucilla arrives to teach Idaho and bind his loyalty to the Sisterhood with sexual imprinting, he has already been tarnished by Schwangyu and nurses hate for the Bene Gesserit, hoping to escape their control of his life .",he,105,Lucilla,105,"['Lucilla', 'Schwangyu']"
133,133,"Despite Schwangyu's efforts to seduce Lucilla to her side, Idaho blossoms under the training of Lucilla , and Schwangyu begins to realize that she has much underestimated Lucilla .",she,142,Schwangyu,142,"['Schwangyu', 'Lucilla', 'Lucilla', 'Schwangyu', 'Lucilla']"
134,134,"However, after interaction with Suipol, Odrade realizes that she is much more capable than anticipated and judges her ready to undertake the spice agony and become a full Reverend Mother .",she,60,Odrade,60,"['Suipol', 'Odrade', 'Mother']"
135,135,"Amrapali , nagarvadhu-courtesan of Vaishali, following the Buddha's teachings she became an arahant .",she,77,Amrapali,77,"['Amrapali', 'Buddha']"
136,136,"ISBN 0-7432-4678-0 Odette from Marcel's In Search of Lost Time is a courtesan of the French Belle Epoque, she gains a notorious reputation from cavorting with aristocrats, artists and bourgeois, of both sexes .",she,105,Odette,105,"['Odette', 'Marcel']"
137,137,"Villeneuve is married to Tanya, a journalist, and he has three children from a previous relationship .",he,49,Tanya,49,"['Villeneuve', 'Tanya']"
138,138,"As Paul makes his final bid to usurp the Padishah's power, he is challenged by Feyd, the current Harkonnen leader after the deaths of the Baron and Rabban .",he,58,Paul,58,"['Paul', 'Padishah', 'Feyd', 'Baron', 'Rabban']"
139,139,"Once his memories are restored, Paul recalls that after his ascension to the Imperial throne he ""had not been able to escape political struggles, assassination attempts, the exiled Emperor Shaddam's bid for power and the pretender daughter of Feyd-Rautha and Lady .",he,92,Paul,92,"['Paul', 'Shaddam', 'Feyd-Rautha', 'Lady']"
140,140,"Rubinstein envisioned the complex material adapted in a miniseries format, as he had done previously with Stephen's The Stand and The Langoliers .",he,77,Rubinstein,77,"['Rubinstein', 'Stephen']"
141,141,"Observing that Sarandon and Krige were ""clearly relishing their roles"", Fries added that ""Sarandon makes a formidable enemy, while Krige, traditionally cast as the villain, proves she can work both sides of the moral fence . """,she,179,Krige,179,"['Sarandon', 'Krige', 'Fries', 'Sarandon', 'Krige']"
142,142,"Rubinstein envisioned the complex material adapted in a miniseries format, as he had done previously with Stephen's The Stand and The Langoliers .",he,77,Rubinstein,77,"['Rubinstein', 'Stephen']"
143,143,"Harrison felt the need to expand Irulan's role because she played such an important part in later books, and epigraphs from her later writings opened each chapter of Dune .",she,54,Harrison,54,"['Harrison', 'Irulan']"
144,144,"McNelly invents an extensive, alternate biography for Mohiam, including the first suggestion that she is Lady Jessica's mother .",she,97,Mohiam,97,"['McNelly', 'Mohiam', 'Jessica']"
145,145,Mohiam is further alarmed as she witnesses the ritual battle-to-the-death between Paul and Feyd-Rautha .,she,28,Mohiam,28,"['Mohiam', 'Paul', 'Feyd-Rautha']"
146,146,Phillips said that she and Lynch both independently came up with the idea for her character's distinctive bald appearance .,she,18,Phillips,18,"['Phillips', 'Lynch']"
147,147,"Orphaned at the age of four, Maderna was adopted by a wealthy woman from Verona, Irma, who saw that he received a solid musical education .",he,99,Irma,99,"['Maderna', 'Irma']"
148,148,"This method, when applied to the successional order of sections, is often described as ""mobile form"", a technique innovated by the composer Earle and inspired by the mobile sculptures of Alexander, to whom Brown and Cage introduced Boulez when he was visiting New York in 1952 .",he,243,Boulez,243,"['Earle', 'Alexander', 'Brown', 'Cage', 'Boulez']"
